fips,totpop,age.60p,age.70p,area.total,area.land,popdens,share.age60,share.age70
01001,55200,10744,5779,604.39,594.4399999999999,0.928605073682794,19.463768115942027,10.469202898550725
01003,208107,55516,27524,2027.31,1589.78,1.3090301802765163,26.676661525080846,13.225888605380886
01005,25782,6285,3119,904.52,884.88,0.2913615405478709,24.377472655340934,12.097587464122256
01007,22527,4877,2381,626.1700000000001,622.58,0.3618330174435414,21.649576064278424,10.569538775691392
01009,57645,13846,6903,650.63,644.7800000000001,0.8940258692887496,24.019429265330906,11.975019516003123
01011,10352,2470,1041,625.14,622.8,0.1662170841361593,23.86012364760433,10.056027820710973
01013,20025,5176,2719,777.88,776.8299999999999,0.25777840711610006,25.847690387016232,13.578027465667915
01015,115098,27464,12719,612.2900000000001,605.87,1.8997144601977323,23.861405063511096,11.050582981459279
01017,33826,8614,4320,603.11,596.53,0.5670460831810639,25.465618163542835,12.771241057174954
01019,25853,7538,3687,599.98,553.7,0.4669134910601408,29.15715777666035,14.261400997949947
01021,43930,9663,4879,700.8,692.8499999999999,0.6340477736883886,21.996357842021396,11.106305486000455
01023,13075,3784,2008,920.8599999999999,913.5,0.14313081554460866,28.940726577437857,15.357552581261949
01025,24387,6099,3092,1252.57,1238.46,0.1969139092098251,25.009226227088206,12.67888629187682
01027,13378,3487,1848,606,603.9599999999999,0.22150473541294127,26.065181641500974,13.813724024517866
01029,14938,3839,1757,561.01,560.1,0.26670237457596857,25.699558173784975,11.761949390815369
01031,51288,11294,5651,680.49,678.97,0.7553794718470624,22.020745593511155,11.018171892060522
01033,54495,14380,7409,622.13,592.62,0.9195605953224664,26.38774199467841,13.595742728690704
01035,12514,3533,1759,852.72,850.16,0.14719582196292463,28.232379734697137,14.05625699216877
01037,10855,3156,1578,666.3499999999999,650.93,0.16676140291582814,29.07415937356057,14.537079686780285
01039,37351,10509,5322,1043.79,1030.46,0.36246918851774934,28.135792883724665,14.248614494926509
01041,13865,3470,1748,610.92,608.8399999999999,0.22772813875566655,25.027046520014423,12.607284529390553
01043,82313,20139,10324,755.02,734.8399999999999,1.1201486037776933,24.466366187600986,12.542368763135837
01045,49255,10658,5269,562.7,561.15,0.8777510469571417,21.638412343924472,10.697391127804284
01047,40029,9468,4030,993.8,978.69,0.4090059160714833,23.652851682530166,10.067700916835294
01049,71200,15952,7589,778.69,777.09,0.9162387882999394,22.40449438202247,10.65870786516854
01051,81212,16429,7769,657.04,618.48,1.3130901565127409,20.229768999655224,9.566320248239176
01053,37328,8831,4312,953.14,945.08,0.3949718542345621,23.657843977711103,11.551650235747964
01055,102939,25667,12215,548.63,534.99,1.9241294229798689,24.934184322754252,11.866250886447313
01057,16585,4629,2319,629.3599999999999,627.66,0.26423541407768536,27.910762737413325,13.982514320168827
01059,31542,7146,3406,646.52,633.8199999999999,0.4976491748445932,22.655506943123456,10.798300678460466
01061,26491,6860,3403,578.9499999999999,574.41,0.4611862606848767,25.89558718055189,12.84587218300555
01063,8426,2376,1016,659.9399999999999,647.11,0.1302097015963283,28.198433420365536,12.057915974365061
01065,14887,3897,1764,656.5,643.9399999999999,0.23118613535422558,26.177201585275746,11.849264458923892
01067,17124,4846,2476,568.31,561.75,0.3048331108144192,28.299462742349917,14.45923849567858
01069,104352,23959,11766,581.65,579.8199999999999,1.7997309509847885,22.959789941735664,11.275298988040479
01071,52094,13586,6162,1126.77,1077.87,0.4833050367855123,26.07977886128921,11.828617499136177
01073,659892,141424,64653,1123.81,1111.28,5.938125404938449,21.43138574190928,9.79751232019785
01075,13933,3913,2025,605.4599999999999,604.8499999999999,0.23035463338017695,28.084403933108447,14.533840522500538
01077,92585,24146,12530,720.99,667.7,1.3866257301183165,26.0798185451207,13.533509747799318
01079,33171,8017,3686,717.2,690.6800000000001,0.4802658249840736,24.168701576678426,11.112116004944077
01081,159287,25778,11000,615.8499999999999,607.54,2.6218355993021034,16.183367129772048,6.905773854740185
01083,93052,19022,9414,607.19,559.9399999999999,1.6618209093831484,20.442333319004426,10.116923870524008
01085,10236,2495,1210,725.07,715.91,0.1429788660585828,24.374755763970303,11.821023837436499
01087,19054,4865,2289,613.21,608.89,0.31293008589400384,25.53269654665687,12.01322556943424
01089,357560,72393,34750,812.7,801.59,4.460634488953205,20.246392213894172,9.718648618413694
01091,19538,5158,2585,982.6700000000001,976.88,0.2000040946687413,26.39983621660354,13.230627495137682
01093,29965,8293,4356,743.57,742.2900000000001,0.4036831965943229,27.6756215584849,14.536959786417485
01095,95145,21921,10629,623.1800000000001,565.8399999999999,1.681482397850983,23.03957118082926,11.17137001418887
01097,414659,90146,41388,1644.01,1229.44,3.3727469416970326,21.739791008997756,9.981213479027346
01099,21512,5582,2844,1034.42,1025.6699999999998,0.20973607495588253,25.948307921160286,13.220528077352176
01101,226941,45575,21145,799.91,784.25,2.8937328657953456,20.082312142803634,9.317399676567918
01103,119122,27607,13323,599.05,579.3399999999999,2.056167362861187,23.17540001007371,11.184332029348063
01105,9486,2379,1224,723.88,719.66,0.13181224467109467,25.079063883617962,12.903225806451612
01107,20298,5000,2370,890.13,881.41,0.23029010335712097,24.632968765395606,11.676027194797516
01109,33403,6581,3435,673.01,672.09,0.49700188962787717,19.701823189533872,10.283507469388976
01111,22574,6345,3112,584.13,580.55,0.38883817070019816,28.10755736688225,13.785771241250997
01113,58213,11129,5183,647.19,641.14,0.9079608197897495,19.117722845412537,8.90350952536375
01115,87306,19232,8860,653.64,631.9,1.3816426649786357,22.028268389343232,10.148214326621309
01117,211261,43622,19119,809.53,784.93,2.691462933000395,20.64839227306507,9.049942961549931
01119,12985,3041,1582,913.3199999999999,903.89,0.14365686090121585,23.419329996149404,12.183288409703504
01121,80565,19560,8994,760.31,736.7800000000001,1.0934743071201714,24.278532861664495,11.163656674734685
01123,40636,11420,5718,766.25,716.52,0.5671300173058673,28.10315975981888,14.071266856974113
01125,206213,37788,16978,1351.25,1321.75,1.5601513145451107,18.324741893091122,8.233234568140709
01127,64493,16320,8446,805.19,791.19,0.8151392206676018,25.305071868264772,13.095994914176732
01129,16643,4427,2035,1088.57,1080.21,0.1540718934281297,26.599771675779603,12.227362855254462
01131,10809,2762,1278,907.41,888.5,0.12165447383230163,25.552780090665188,11.823480432972524
01133,23875,6708,3509,631.87,612.98,0.3894906848510555,28.09633507853403,14.69738219895288
02013,3425,548,156,15009.859999999999,6981.94,0.004905513367344893,16,4.554744525547445
02016,5750,716,160,14116.44,4390.28,0.013097114534836047,12.452173913043477,2.782608695652174
02020,296112,45533,17991,1961,1704.6799999999998,1.7370532885937537,15.376951964121682,6.075741611282218
02050,18040,2197,784,45504.21,40570,0.004446635444910032,12.178492239467849,4.34589800443459
02060,890,160,50,887.56,503.84000000000003,0.01766433788504287,17.97752808988764,5.617977528089887
02068,2232,480,77,12776.92,12751.41,0.0017503946622373526,21.50537634408602,3.4498207885304657
02070,4975,763,271,20915.21,18568.780000000002,0.0026792282530139293,15.336683417085428,5.447236180904523
02090,99653,14313,4671,7443.6900000000005,7338.21,0.13580014744740201,14.362839051508736,4.687264808886837
02100,2518,709,219,2725.5,2318.6,0.010860001725178987,28.157267672756152,8.697378872120732
02105,2132,657,219,10914.15,7524.91,0.0028332564774861094,30.816135084427764,10.272045028142589
02110,32330,6069,2113,3253.8900000000003,2701.9300000000003,0.11965520942437442,18.772038354469533,6.535725332508506
02122,58220,13779,5232,24752.32,16075.33,0.03621698590324429,23.667124699416007,8.986602542081759
