fips,rucc,cty.type,cty.adj,state_fips,state.abb,reg
01001,2,metro,metro,01,AL,South
01003,3,metro,metro,01,AL,South
01005,6,rural,nonmetro_adj,01,AL,South
01007,1,metro,metro,01,AL,South
01009,1,metro,metro,01,AL,South
01011,6,rural,nonmetro_adj,01,AL,South
01013,6,rural,nonmetro_adj,01,AL,South
01015,3,metro,metro,01,AL,South
01017,6,rural,nonmetro_adj,01,AL,South
01019,6,rural,nonmetro_adj,01,AL,South
01021,1,metro,metro,01,AL,South
01023,9,rural,nonmetro_noadj,01,AL,South
01025,7,rural,nonmetro_noadj,01,AL,South
01027,9,rural,nonmetro_noadj,01,AL,South
01029,8,rural,nonmetro_adj,01,AL,South
01031,4,rural,nonmetro_adj,01,AL,South
01033,3,metro,metro,01,AL,South
01035,7,rural,nonmetro_noadj,01,AL,South
01037,8,rural,nonmetro_adj,01,AL,South
01039,6,rural,nonmetro_adj,01,AL,South
01041,8,rural,nonmetro_adj,01,AL,South
01043,4,rural,nonmetro_adj,01,AL,South
01045,4,rural,nonmetro_adj,01,AL,South
01047,4,rural,nonmetro_adj,01,AL,South
01049,6,rural,nonmetro_adj,01,AL,South
01051,2,metro,metro,01,AL,South
01053,6,rural,nonmetro_adj,01,AL,South
01055,3,metro,metro,01,AL,South
01057,6,rural,nonmetro_adj,01,AL,South
01059,6,rural,nonmetro_adj,01,AL,South
01061,3,metro,metro,01,AL,South
01063,8,rural,nonmetro_adj,01,AL,South
01065,3,metro,metro,01,AL,South
01067,3,metro,metro,01,AL,South
01069,3,metro,metro,01,AL,South
01071,6,rural,nonmetro_adj,01,AL,South
01073,1,metro,metro,01,AL,South
01075,8,rural,nonmetro_adj,01,AL,South
01077,3,metro,metro,01,AL,South
01079,3,metro,metro,01,AL,South
01081,3,metro,metro,01,AL,South
01083,2,metro,metro,01,AL,South
01085,2,metro,metro,01,AL,South
01087,6,rural,nonmetro_adj,01,AL,South
01089,2,metro,metro,01,AL,South
01091,7,rural,nonmetro_noadj,01,AL,South
01093,7,rural,nonmetro_noadj,01,AL,South
01095,4,rural,nonmetro_adj,01,AL,South
01097,2,metro,metro,01,AL,South
01099,7,rural,nonmetro_noadj,01,AL,South
01101,2,metro,metro,01,AL,South
01103,3,metro,metro,01,AL,South
01105,8,rural,nonmetro_adj,01,AL,South
01107,3,metro,metro,01,AL,South
01109,6,rural,nonmetro_adj,01,AL,South
01111,6,rural,nonmetro_adj,01,AL,South
01113,2,metro,metro,01,AL,South
01115,1,metro,metro,01,AL,South
01117,1,metro,metro,01,AL,South
01119,8,rural,nonmetro_adj,01,AL,South
01121,4,rural,nonmetro_adj,01,AL,South
01123,6,rural,nonmetro_adj,01,AL,South
01125,3,metro,metro,01,AL,South
01127,1,metro,metro,01,AL,South
01129,8,rural,nonmetro_adj,01,AL,South
01131,9,rural,nonmetro_noadj,01,AL,South
01133,6,rural,nonmetro_adj,01,AL,South
02013,9,rural,nonmetro_noadj,02,AK,West
02016,9,rural,nonmetro_noadj,02,AK,West
02020,2,metro,metro,02,AK,West
02050,7,rural,nonmetro_noadj,02,AK,West
02060,9,rural,nonmetro_noadj,02,AK,West
02068,8,rural,nonmetro_adj,02,AK,West
02070,9,rural,nonmetro_noadj,02,AK,West
02090,3,metro,metro,02,AK,West
02100,9,rural,nonmetro_noadj,02,AK,West
02105,9,rural,nonmetro_noadj,02,AK,West
02110,5,rural,nonmetro_noadj,02,AK,West
02122,7,rural,nonmetro_noadj,02,AK,West
02130,7,rural,nonmetro_noadj,02,AK,West
02150,7,rural,nonmetro_noadj,02,AK,West
02164,9,rural,nonmetro_noadj,02,AK,West
02170,2,metro,metro,02,AK,West
02180,7,rural,nonmetro_noadj,02,AK,West
02185,7,rural,nonmetro_noadj,02,AK,West
02188,7,rural,nonmetro_noadj,02,AK,West
02195,9,rural,nonmetro_noadj,02,AK,West
02198,9,rural,nonmetro_noadj,02,AK,West
02220,7,rural,nonmetro_noadj,02,AK,West
02230,9,rural,nonmetro_noadj,02,AK,West
02240,9,rural,nonmetro_noadj,02,AK,West
02261,9,rural,nonmetro_noadj,02,AK,West
02270,9,rural,nonmetro_noadj,02,AK,West
02275,9,rural,nonmetro_noadj,02,AK,West
02282,9,rural,nonmetro_noadj,02,AK,West
02290,9,rural,nonmetro_noadj,02,AK,West
04001,6,rural,nonmetro_adj,04,AZ,West
04003,3,metro,metro,04,AZ,West
04005,3,metro,metro,04,AZ,West
04007,4,rural,nonmetro_adj,04,AZ,West
04009,7,rural,nonmetro_noadj,04,AZ,West
04011,7,rural,nonmetro_noadj,04,AZ,West
04012,6,rural,nonmetro_adj,04,AZ,West
04013,1,metro,metro,04,AZ,West
04015,3,metro,metro,04,AZ,West
04017,4,rural,nonmetro_adj,04,AZ,West
04019,2,metro,metro,04,AZ,West
04021,1,metro,metro,04,AZ,West
04023,4,rural,nonmetro_adj,04,AZ,West
04025,3,metro,metro,04,AZ,West
04027,3,metro,metro,04,AZ,West
05001,6,rural,nonmetro_adj,05,AR,South
05003,7,rural,nonmetro_noadj,05,AR,South
05005,7,rural,nonmetro_noadj,05,AR,South
05007,2,metro,metro,05,AR,South
05009,7,rural,nonmetro_noadj,05,AR,South
05011,7,rural,nonmetro_noadj,05,AR,South
05013,9,rural,nonmetro_noadj,05,AR,South
05015,6,rural,nonmetro_adj,05,AR,South
05017,7,rural,nonmetro_noadj,05,AR,South
05019,7,rural,nonmetro_noadj,05,AR,South
05021,7,rural,nonmetro_noadj,05,AR,South
05023,6,rural,nonmetro_adj,05,AR,South
05025,3,metro,metro,05,AR,South
05027,7,rural,nonmetro_noadj,05,AR,South
05029,6,rural,nonmetro_adj,05,AR,South
05031,3,metro,metro,05,AR,South
05033,2,metro,metro,05,AR,South
05035,1,metro,metro,05,AR,South
05037,6,rural,nonmetro_adj,05,AR,South
05039,6,rural,nonmetro_adj,05,AR,South
05041,6,rural,nonmetro_adj,05,AR,South
05043,6,rural,nonmetro_adj,05,AR,South
05045,2,metro,metro,05,AR,South
05047,6,rural,nonmetro_adj,05,AR,South
05049,9,rural,nonmetro_noadj,05,AR,South
05051,3,metro,metro,05,AR,South
05053,2,metro,metro,05,AR,South
05055,4,rural,nonmetro_adj,05,AR,South
05057,6,rural,nonmetro_adj,05,AR,South
05059,6,rural,nonmetro_adj,05,AR,South
05061,6,rural,nonmetro_adj,05,AR,South
05063,7,rural,nonmetro_noadj,05,AR,South
05065,9,rural,nonmetro_noadj,05,AR,South
05067,6,rural,nonmetro_adj,05,AR,South
05069,3,metro,metro,05,AR,South
05071,7,rural,nonmetro_noadj,05,AR,South
05073,8,rural,nonmetro_adj,05,AR,South
05075,6,rural,nonmetro_adj,05,AR,South
05077,7,rural,nonmetro_noadj,05,AR,South
05079,3,metro,metro,05,AR,South
05081,3,metro,metro,05,AR,South
05083,6,rural,nonmetro_adj,05,AR,South
05085,2,metro,metro,05,AR,South
05087,2,metro,metro,05,AR,South
05089,9,rural,nonmetro_noadj,05,AR,South
05091,3,metro,metro,05,AR,South
05093,4,rural,nonmetro_adj,05,AR,South
05095,7,rural,nonmetro_noadj,05,AR,South
05097,8,rural,nonmetro_adj,05,AR,South
05099,7,rural,nonmetro_noadj,05,AR,South
05101,9,rural,nonmetro_noadj,05,AR,South
05103,7,rural,nonmetro_noadj,05,AR,South
05105,2,metro,metro,05,AR,South
05107,6,rural,nonmetro_adj,05,AR,South
05109,9,rural,nonmetro_noadj,05,AR,South
05111,3,metro,metro,05,AR,South
05113,7,rural,nonmetro_noadj,05,AR,South
05115,5,rural,nonmetro_noadj,05,AR,South
05117,8,rural,nonmetro_adj,05,AR,South
05119,2,metro,metro,05,AR,South
05121,7,rural,nonmetro_noadj,05,AR,South
05123,6,rural,nonmetro_adj,05,AR,South
05125,2,metro,metro,05,AR,South
05127,6,rural,nonmetro_adj,05,AR,South
05129,9,rural,nonmetro_noadj,05,AR,South
05131,2,metro,metro,05,AR,South
05133,6,rural,nonmetro_adj,05,AR,South
05135,7,rural,nonmetro_noadj,05,AR,South
05137,9,rural,nonmetro_noadj,05,AR,South
05139,7,rural,nonmetro_noadj,05,AR,South
05141,8,rural,nonmetro_adj,05,AR,South
05143,2,metro,metro,05,AR,South
05145,4,rural,nonmetro_adj,05,AR,South
05147,9,rural,nonmetro_noadj,05,AR,South
05149,6,rural,nonmetro_adj,05,AR,South
06001,1,metro,metro,06,CA,West
06003,8,rural,nonmetro_adj,06,CA,West
06005,6,rural,nonmetro_adj,06,CA,West
06007,3,metro,metro,06,CA,West
06009,6,rural,nonmetro_adj,06,CA,West
06011,6,rural,nonmetro_adj,06,CA,West
06013,1,metro,metro,06,CA,West
06015,7,rural,nonmetro_noadj,06,CA,West
06017,1,metro,metro,06,CA,West
06019,2,metro,metro,06,CA,West
06021,6,rural,nonmetro_adj,06,CA,West
06023,5,rural,nonmetro_noadj,06,CA,West
06025,3,metro,metro,06,CA,West
06027,7,rural,nonmetro_noadj,06,CA,West
06029,2,metro,metro,06,CA,West
06031,3,metro,metro,06,CA,West
06033,4,rural,nonmetro_adj,06,CA,West
06035,7,rural,nonmetro_noadj,06,CA,West
06037,1,metro,metro,06,CA,West
06039,3,metro,metro,06,CA,West
06041,1,metro,metro,06,CA,West
06043,8,rural,nonmetro_adj,06,CA,West
06045,4,rural,nonmetro_adj,06,CA,West
06047,2,metro,metro,06,CA,West
06049,6,rural,nonmetro_adj,06,CA,West
06051,7,rural,nonmetro_noadj,06,CA,West
06053,2,metro,metro,06,CA,West
06055,3,metro,metro,06,CA,West
06057,4,rural,nonmetro_adj,06,CA,West
06059,1,metro,metro,06,CA,West
06061,1,metro,metro,06,CA,West
06063,7,rural,nonmetro_noadj,06,CA,West
06065,1,metro,metro,06,CA,West
06067,1,metro,metro,06,CA,West
06069,1,metro,metro,06,CA,West
06071,1,metro,metro,06,CA,West
06073,1,metro,metro,06,CA,West
06075,1,metro,metro,06,CA,West
06077,2,metro,metro,06,CA,West
06079,2,metro,metro,06,CA,West
06081,1,metro,metro,06,CA,West
06083,2,metro,metro,06,CA,West
06085,1,metro,metro,06,CA,West
06087,2,metro,metro,06,CA,West
06089,3,metro,metro,06,CA,West
06091,8,rural,nonmetro_adj,06,CA,West
06093,6,rural,nonmetro_adj,06,CA,West
06095,2,metro,metro,06,CA,West
06097,2,metro,metro,06,CA,West
06099,2,metro,metro,06,CA,West
06101,3,metro,metro,06,CA,West
06103,4,rural,nonmetro_adj,06,CA,West
06105,8,rural,nonmetro_adj,06,CA,West
06107,2,metro,metro,06,CA,West
06109,4,rural,nonmetro_adj,06,CA,West
06111,2,metro,metro,06,CA,West
06113,1,metro,metro,06,CA,West
06115,3,metro,metro,06,CA,West
08001,1,metro,metro,08,CO,West
08003,7,rural,nonmetro_noadj,08,CO,West
08005,1,metro,metro,08,CO,West
08007,7,rural,nonmetro_noadj,08,CO,West
08009,9,rural,nonmetro_noadj,08,CO,West
08011,7,rural,nonmetro_noadj,08,CO,West
08013,2,metro,metro,08,CO,West
08014,1,metro,metro,08,CO,West
08015,7,rural,nonmetro_noadj,08,CO,West
08017,9,rural,nonmetro_noadj,08,CO,West
08019,1,metro,metro,08,CO,West
08021,9,rural,nonmetro_noadj,08,CO,West
08023,9,rural,nonmetro_noadj,08,CO,West
08025,8,rural,nonmetro_adj,08,CO,West
08027,8,rural,nonmetro_adj,08,CO,West
08029,6,rural,nonmetro_adj,08,CO,West
08031,1,metro,metro,08,CO,West
08033,9,rural,nonmetro_noadj,08,CO,West
08035,1,metro,metro,08,CO,West
08037,5,rural,nonmetro_noadj,08,CO,West
08039,1,metro,metro,08,CO,West
08041,2,metro,metro,08,CO,West
08043,4,rural,nonmetro_adj,08,CO,West
08045,5,rural,nonmetro_noadj,08,CO,West
08047,1,metro,metro,08,CO,West
