fips,county,state,date,confirmed,deaths
53061,Snohomish,Washington,2020-01-21,1,0
53061,Snohomish,Washington,2020-01-22,1,0
53061,Snohomish,Washington,2020-01-23,1,0
17031,Cook,Illinois,2020-01-24,1,0
53061,Snohomish,Washington,2020-01-24,1,0
06059,Orange,California,2020-01-25,1,0
17031,Cook,Illinois,2020-01-25,1,0
53061,Snohomish,Washington,2020-01-25,1,0
04013,Maricopa,Arizona,2020-01-26,1,0
06037,Los Angeles,California,2020-01-26,1,0
06059,Orange,California,2020-01-26,1,0
17031,Cook,Illinois,2020-01-26,1,0
53061,Snohomish,Washington,2020-01-26,1,0
04013,Maricopa,Arizona,2020-01-27,1,0
06037,Los Angeles,California,2020-01-27,1,0
06059,Orange,California,2020-01-27,1,0
17031,Cook,Illinois,2020-01-27,1,0
53061,Snohomish,Washington,2020-01-27,1,0
04013,Maricopa,Arizona,2020-01-28,1,0
06037,Los Angeles,California,2020-01-28,1,0
06059,Orange,California,2020-01-28,1,0
17031,Cook,Illinois,2020-01-28,1,0
53061,Snohomish,Washington,2020-01-28,1,0
04013,Maricopa,Arizona,2020-01-29,1,0
06037,Los Angeles,California,2020-01-29,1,0
06059,Orange,California,2020-01-29,1,0
17031,Cook,Illinois,2020-01-29,1,0
53061,Snohomish,Washington,2020-01-29,1,0
04013,Maricopa,Arizona,2020-01-30,1,0
06037,Los Angeles,California,2020-01-30,1,0
06059,Orange,California,2020-01-30,1,0
17031,Cook,Illinois,2020-01-30,2,0
53061,Snohomish,Washington,2020-01-30,1,0
04013,Maricopa,Arizona,2020-01-31,1,0
06037,Los Angeles,California,2020-01-31,1,0
06059,Orange,California,2020-01-31,1,0
06085,Santa Clara,California,2020-01-31,1,0
17031,Cook,Illinois,2020-01-31,2,0
53061,Snohomish,Washington,2020-01-31,1,0
04013,Maricopa,Arizona,2020-02-01,1,0
06037,Los Angeles,California,2020-02-01,1,0
06059,Orange,California,2020-02-01,1,0
06085,Santa Clara,California,2020-02-01,1,0
17031,Cook,Illinois,2020-02-01,2,0
25025,Suffolk,Massachusetts,2020-02-01,1,0
